
Active Connections

  Proto  Local Address          Foreign Address        State           PID
  TCP    0.0.0.0:135            0.0.0.0:0              LISTENING       1400
  TCP    0.0.0.0:445            0.0.0.0:0              LISTENING       4
  TCP    0.0.0.0:1688           0.0.0.0:0              LISTENING       5516
  TCP    0.0.0.0:2869           0.0.0.0:0              LISTENING       4
  TCP    0.0.0.0:5040           0.0.0.0:0              LISTENING       11016
  TCP    0.0.0.0:5357           0.0.0.0:0              LISTENING       4
  TCP    0.0.0.0:7680           0.0.0.0:0              LISTENING       3936
  TCP    0.0.0.0:9832           0.0.0.0:0              LISTENING       4
  TCP    0.0.0.0:49664          0.0.0.0:0              LISTENING       736
  TCP    0.0.0.0:49665          0.0.0.0:0              LISTENING       1012
  TCP    0.0.0.0:49666          0.0.0.0:0              LISTENING       1620
  TCP    0.0.0.0:49667          0.0.0.0:0              LISTENING       2028
  TCP    0.0.0.0:49668          0.0.0.0:0              LISTENING       4892
  TCP    0.0.0.0:49674          0.0.0.0:0              LISTENING       788
  TCP    10.3.0.1:139           0.0.0.0:0              LISTENING       4
  TCP    127.0.0.1:12025        0.0.0.0:0              LISTENING       4560
  TCP    127.0.0.1:12110        0.0.0.0:0              LISTENING       4560
  TCP    127.0.0.1:12119        0.0.0.0:0              LISTENING       4560
  TCP    127.0.0.1:12143        0.0.0.0:0              LISTENING       4560
  TCP    127.0.0.1:12465        0.0.0.0:0              LISTENING       4560
  TCP    127.0.0.1:12563        0.0.0.0:0              LISTENING       4560
  TCP    127.0.0.1:12993        0.0.0.0:0              LISTENING       4560
  TCP    127.0.0.1:12995        0.0.0.0:0              LISTENING       4560
  TCP    127.0.0.1:22350        0.0.0.0:0              LISTENING       5756
  TCP    127.0.0.1:22352        0.0.0.0:0              LISTENING       5864
  TCP    127.0.0.1:27275        0.0.0.0:0              LISTENING       4560
  TCP    127.0.0.1:49853        127.0.0.1:49854        ESTABLISHED     15960
  TCP    127.0.0.1:49854        127.0.0.1:49853        ESTABLISHED     15960
  TCP    127.0.0.1:50911        0.0.0.0:0              LISTENING       5740
  TCP    127.0.0.1:50912        0.0.0.0:0              LISTENING       5676
  TCP    192.168.0.20:139       0.0.0.0:0              LISTENING       4
  TCP    192.168.0.20:49683     34.23.207.74:443       ESTABLISHED     5564
  TCP    192.168.0.20:49687     35.230.86.105:7500     ESTABLISHED     5712
  TCP    192.168.0.20:49715     35.230.86.105:443      ESTABLISHED     4560
  TCP    192.168.0.20:49742     172.172.255.218:443    ESTABLISHED     5788
  TCP    192.168.0.20:49751     181.214.52.60:443      ESTABLISHED     4560
  TCP    192.168.0.20:49775     52.97.26.114:443       ESTABLISHED     13152
  TCP    192.168.0.20:49895     172.215.132.2:443      ESTABLISHED     16900
  TCP    192.168.0.20:49931     172.172.255.218:443    ESTABLISHED     5788
  TCP    192.168.0.20:54351     108.177.123.188:5228   ESTABLISHED     4456
  TCP    192.168.0.20:54360     192.168.0.66:8009      ESTABLISHED     4456
  TCP    192.168.0.20:54468     31.13.67.52:5222       ESTABLISHED     4456
  TCP    192.168.0.20:54505     178.62.202.229:443     ESTABLISHED     4456
  TCP    192.168.0.20:54573     178.62.202.229:443     ESTABLISHED     4456
  TCP    192.168.0.20:54757     140.82.113.25:443      ESTABLISHED     4456
  TCP    192.168.0.20:54981     172.217.29.131:443     ESTABLISHED     4456
  TCP    192.168.0.20:54985     34.49.17.193:443       ESTABLISHED     4456
  TCP    192.168.0.20:54986     172.217.29.131:443     ESTABLISHED     4456
  TCP    192.168.0.20:54990     142.250.219.238:443    ESTABLISHED     4456
  TCP    192.168.0.20:55001     35.227.215.13:443      ESTABLISHED     4456
  TCP    192.168.0.20:55005     35.227.215.13:443      ESTABLISHED     4456
  TCP    192.168.0.20:55010     142.250.219.206:443    ESTABLISHED     4456
  TCP    192.168.0.20:55025     35.227.215.13:443      ESTABLISHED     4456
  TCP    192.168.0.20:55027     142.250.219.234:443    ESTABLISHED     4456
  TCP    192.168.0.20:55029     142.250.219.234:443    ESTABLISHED     4456
  TCP    192.168.0.20:55047     52.97.79.242:443       ESTABLISHED     4456
  TCP    192.168.0.20:55134     35.227.215.13:443      ESTABLISHED     4456
  TCP    192.168.0.20:55138     35.227.215.13:443      ESTABLISHED     4456
  TCP    192.168.0.20:55182     35.227.215.13:443      ESTABLISHED     4456
  TCP    192.168.0.20:55191     142.250.219.206:443    ESTABLISHED     4456
  TCP    192.168.0.20:55192     35.227.215.13:443      ESTABLISHED     4456
  TCP    192.168.0.20:55245     2.21.153.87:443        ESTABLISHED     4456
  TCP    192.168.0.20:55252     52.97.78.98:443        ESTABLISHED     4988
  TCP    192.168.0.20:55256     35.227.215.13:443      ESTABLISHED     4456
  TCP    192.168.0.20:55325     34.232.81.54:443       ESTABLISHED     1844
  TCP    192.168.0.20:55392     35.227.215.13:443      TIME_WAIT       0
  TCP    192.168.0.20:55399     54.152.134.37:443      ESTABLISHED     8560
  TCP    192.168.0.20:55424     52.97.26.50:443        ESTABLISHED     4988
  TCP    192.168.0.20:55444     172.217.29.138:443     ESTABLISHED     4456
  TCP    192.168.0.20:55447     172.217.29.238:443     ESTABLISHED     4456
